DATE,TB3MS
1989/1/1,2.773333333
1989/4/1,3
1989/7/1,3.54
1989/10/1,4.23
1990/1/1,3.873333333
1990/4/1,2.993333333
1990/7/1,2.36
1990/10/1,2.306666667
1991/1/1,2.35
1991/4/1,2.303333333
1991/7/1,2.303333333
1991/10/1,2.46
1992/1/1,2.723333333
1992/4/1,2.716666667
1992/7/1,2.84
1992/10/1,2.813333333
1993/1/1,2.906666667
1993/4/1,2.94
1993/7/1,3.293333333
1993/10/1,3.496666667
1994/1/1,3.53
1994/4/1,3.476666667
1994/7/1,3.496666667
1994/10/1,3.683333333
1995/1/1,3.89
1995/4/1,3.873333333
1995/7/1,3.866666667
1995/10/1,4.166666667
1996/1/1,4.61
1996/4/1,4.586666667
1996/7/1,5.043333333
1996/10/1,5.21
1997/1/1,4.513333333
1997/4/1,3.66
1997/7/1,4.3
1997/10/1,4.753333333
1998/1/1,5.05
1998/4/1,5.52
1998/7/1,5.196666667
1998/10/1,5.586666667
1999/1/1,6.093333333
1999/4/1,6.196666667
1999/7/1,7.023333333
1999/10/1,7.353333333
2000/1/1,7.21
2000/4/1,6.676666667
2000/7/1,6.326666667
2000/10/1,5.353333333
2001/1/1,3.84
2001/4/1,4.25
2001/7/1,5.01
2001/10/1,4.23
2002/1/1,3.436666667
2002/4/1,3.77
2002/7/1,4.22
2002/10/1,4.863333333
2003/1/1,5.7
2003/4/1,6.603333333
2003/7/1,8.323333333
2003/10/1,7.5
2004/1/1,7.616666667
2004/4/1,8.153333333
2004/7/1,8.19
2004/10/1,7.36
2005/1/1,5.75
2005/4/1,5.393333333
2005/7/1,6.33
2005/10/1,5.626666667
2006/1/1,4.916666667
2006/4/1,5.156666667
2006/7/1,5.15
2006/10/1,4.673333333
2007/1/1,4.63
2007/4/1,4.84
2007/7/1,5.496666667
2007/10/1,6.11
2008/1/1,6.393333333
2008/4/1,6.476666667
2008/7/1,7.313333333
2008/10/1,8.57
2009/1/1,9.383333333
2009/4/1,9.376666667
2009/7/1,9.673333333
2009/10/1,11.84333333
2010/1/1,13.35333333
2010/4/1,9.616666667
2010/7/1,9.153333333
2010/10/1,13.61333333
2011/1/1,14.39
2011/4/1,14.90666667
2011/7/1,15.05333333
2011/10/1,11.75
2012/1/1,12.81333333
2012/4/1,12.42
2012/7/1,9.316666667
2012/10/1,7.906666667
2013/1/1,8.106666667
2013/4/1,8.396666667
2013/7/1,9.14
2013/10/1,8.8
2014/1/1,9.17
2014/4/1,9.796666667
2014/7/1,10.32
2014/10/1,8.803333333
2015/1/1,8.183333333
2015/4/1,7.46
2015/7/1,7.106666667
2015/10/1,7.166666667
2016/1/1,6.896666667
2016/4/1,6.14
2016/7/1,5.523333333
2016/10/1,5.353333333
2017/1/1,5.536666667
2017/4/1,5.656666667
2017/7/1,6.043333333
2017/10/1,5.863333333
2018/1/1,5.723333333
2018/4/1,6.21
2018/7/1,7.01
2018/10/1,7.726666667
